Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Dynamic Search,Chrome 116.0.0.0,,,2566-08-30 14:10:14,2566-08-30 14:10:25,11.670s,PASSED
,,,,,,,
Test Cases/TEST Search Category LIST,Chrome 116.0.0.0,,,2566-08-30 14:10:14,2566-08-30 14:10:25,11.341s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2566-08-30 14:10:14,2566-08-30 14:10:17,2.732s,PASSED
"navigateToUrl(""https://pos-frontend-ton-gumbjqoyzq-as.a.run.app/"")",Chrome 116.0.0.0,,,2566-08-30 14:10:17,2566-08-30 14:10:18,0.843s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign In/input_Username_username""), ""admin"")",Chrome 116.0.0.0,,,2566-08-30 14:10:18,2566-08-30 14:10:19,1.402s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign In/input_Password_password""), ""aeHFOx8jV/A="")",Chrome 116.0.0.0,,,2566-08-30 14:10:19,2566-08-30 14:10:20,0.521s,PASSED
"click(findTestObject(""Object Repository/Page_Sign In/button_Sign in with Credentials""))",Chrome 116.0.0.0,,,2566-08-30 14:10:20,2566-08-30 14:10:21,0.825s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/span_Item""))",Chrome 116.0.0.0,,,2566-08-30 14:10:21,2566-08-30 14:10:21,0.674s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/span_Category""))",Chrome 116.0.0.0,,,2566-08-30 14:10:21,2566-08-30 14:10:22,0.716s,PASSED
"setText(findTestObject(""Object Repository/Page_Create Next App/input_Add Category_input-group-1""), ""water"")",Chrome 116.0.0.0,,,2566-08-30 14:10:22,2566-08-30 14:10:23,1.198s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Create Next App/input_Add Category_input-group-1""), Keys.chord(ENTER))",Chrome 116.0.0.0,,,2566-08-30 14:10:23,2566-08-30 14:10:24,0.515s,PASSED
"setText(findTestObject(""Object Repository/Page_Create Next App/input_Add Category_input-group-1""), """")",Chrome 116.0.0.0,,,2566-08-30 14:10:24,2566-08-30 14:10:25,0.706s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2566-08-30 14:10:25,2566-08-30 14:10:25,0.718s,PASSED
