Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TESTSEARCHCategory,Chrome 116.0.0.0,,,2566-09-01 13:17:22,2566-09-01 13:22:14,4m - 51.658s,PASSED
,,,,,,,
Test Cases/TEST LOGIN,Chrome 116.0.0.0,"username : admin
password : 123456",,2566-09-01 13:17:22,2566-09-01 13:18:09,46.914s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2566-09-01 13:17:23,2566-09-01 13:17:26,3.433s,PASSED
"navigateToUrl(""https://pos-frontend-ton-gumbjqoyzq-as.a.run.app/"")",Chrome 116.0.0.0,,,2566-09-01 13:17:26,2566-09-01 13:17:31,4.825s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign In/input_Username_username""), ""admin"")",Chrome 116.0.0.0,,,2566-09-01 13:17:31,2566-09-01 13:17:32,1.683s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign In/input_Password_password""), ""aeHFOx8jV/A="")",Chrome 116.0.0.0,,,2566-09-01 13:17:32,2566-09-01 13:17:33,0.480s,PASSED
"click(findTestObject(""Object Repository/Page_Sign In/button_Sign in with Credentials""))",Chrome 116.0.0.0,,,2566-09-01 13:17:33,2566-09-01 13:17:39,6.068s,PASSED
Start listener action : sampleAfterTestCase,Chrome 116.0.0.0,,,2566-09-01 13:17:39,2566-09-01 13:18:09,30.060s,PASSED
,,,,,,,
Test Cases/Category LIST/SEARCH category/กดเปลี่ยนหน้าไปที่ category,Chrome 116.0.0.0,,,2566-09-01 13:18:09,2566-09-01 13:18:42,32.452s,PASSED
"navigateToUrl(""https://pos-frontend-ton-gumbjqoyzq-as.a.run.app/"")",Chrome 116.0.0.0,,,2566-09-01 13:18:09,2566-09-01 13:18:10,0.339s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/div_Item""))",Chrome 116.0.0.0,,,2566-09-01 13:18:10,2566-09-01 13:18:11,0.886s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/span_Category""))",Chrome 116.0.0.0,,,2566-09-01 13:18:11,2566-09-01 13:18:12,0.924s,PASSED
Start listener action : sampleAfterTestCase,Chrome 116.0.0.0,,,2566-09-01 13:18:12,2566-09-01 13:18:42,30.011s,PASSED
,,,,,,,
Test Cases/Category LIST/SEARCH category/ตรวจสอบฟังก์ชันการค้นหาเมื่อมีการค้นหาค่าว่าง,Chrome 116.0.0.0,,,2566-09-01 13:18:42,2566-09-01 13:19:16,34.022s,PASSED
"navigateToUrl(""https://pos-frontend-ton-gumbjqoyzq-as.a.run.app/items/categories"")",Chrome 116.0.0.0,,,2566-09-01 13:18:42,2566-09-01 13:18:42,0.386s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/span_Item""))",Chrome 116.0.0.0,,,2566-09-01 13:18:42,2566-09-01 13:18:43,0.859s,PASSED
