Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Testsuites filter category,Chrome 116.0.0.0,,,2566-09-04 08:49:50,2566-09-04 08:50:54,1m - 4.407s,PASSED
,,,,,,,
Test Cases/TEST LOGIN,Chrome 116.0.0.0,"username : admin
password : 123456",,2566-09-04 08:49:50,2566-09-04 08:49:59,9.350s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2566-09-04 08:49:51,2566-09-04 08:49:54,3.373s,PASSED
"navigateToUrl(""https://pos-frontend-ton-gumbjqoyzq-as.a.run.app/"")",Chrome 116.0.0.0,,,2566-09-04 08:49:54,2566-09-04 08:49:55,1.434s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign In/input_Username_username""), ""admin"")",Chrome 116.0.0.0,,,2566-09-04 08:49:55,2566-09-04 08:49:57,1.998s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign In/input_Password_password""), ""aeHFOx8jV/A="")",Chrome 116.0.0.0,,,2566-09-04 08:49:57,2566-09-04 08:49:58,0.849s,PASSED
"click(findTestObject(""Object Repository/Page_Sign In/button_Sign in with Credentials""))",Chrome 116.0.0.0,,,2566-09-04 08:49:58,2566-09-04 08:49:59,1.175s,PASSED
,,,,,,,
Test Cases/Category LIST/Filter category หน้า sub category/ทดสอบกรองข้อมูล 1 รายการ,Chrome 116.0.0.0,,,2566-09-04 08:49:59,2566-09-04 08:50:06,6.484s,PASSED
"navigateToUrl(""https://pos-frontend-ton-gumbjqoyzq-as.a.run.app/"")",Chrome 116.0.0.0,,,2566-09-04 08:50:00,2566-09-04 08:50:01,0.252s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/div_Item""))",Chrome 116.0.0.0,,,2566-09-04 08:50:01,2566-09-04 08:50:01,0.829s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/span_Category""))",Chrome 116.0.0.0,,,2566-09-04 08:50:01,2566-09-04 08:50:02,1.146s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/button_Sub Category""))",Chrome 116.0.0.0,,,2566-09-04 08:50:02,2566-09-04 08:50:04,1.765s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""1"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:04,2566-09-04 08:50:06,1.612s,PASSED
,,,,,,,
Test Cases/Category LIST/Filter category หน้า sub category/ทดสอบการ filter สลับไปมา,Chrome 116.0.0.0,,,2566-09-04 08:50:06,2566-09-04 08:50:27,21.535s,PASSED
"navigateToUrl(""https://pos-frontend-ton-gumbjqoyzq-as.a.run.app/"")",Chrome 116.0.0.0,,,2566-09-04 08:50:07,2566-09-04 08:50:07,0.297s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/span_Item""))",Chrome 116.0.0.0,,,2566-09-04 08:50:07,2566-09-04 08:50:08,1.063s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/span_Category""))",Chrome 116.0.0.0,,,2566-09-04 08:50:08,2566-09-04 08:50:09,0.939s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/button_Sub Category""))",Chrome 116.0.0.0,,,2566-09-04 08:50:09,2566-09-04 08:50:10,1.166s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""1"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:10,2566-09-04 08:50:12,1.497s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""3"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:12,2566-09-04 08:50:13,1.556s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""1"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:13,2566-09-04 08:50:15,1.534s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""14"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:15,2566-09-04 08:50:16,1.552s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""4"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:16,2566-09-04 08:50:18,1.559s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""6"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:18,2566-09-04 08:50:19,1.608s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""14"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:19,2566-09-04 08:50:21,1.722s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""4"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:21,2566-09-04 08:50:23,1.841s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""3"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:23,2566-09-04 08:50:24,1.543s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""1"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:24,2566-09-04 08:50:26,1.418s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), """", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:26,2566-09-04 08:50:27,1.509s,PASSED
,,,,,,,
Test Cases/Category LIST/Filter category หน้า sub category/ตรวจสอบการใช้ filter ควบคู่กับช่อง search,Chrome 116.0.0.0,,,2566-09-04 08:50:27,2566-09-04 08:50:54,26.549s,PASSED
"navigateToUrl(""https://pos-frontend-ton-gumbjqoyzq-as.a.run.app/"")",Chrome 116.0.0.0,,,2566-09-04 08:50:28,2566-09-04 08:50:29,0.440s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/span_Item""))",Chrome 116.0.0.0,,,2566-09-04 08:50:29,2566-09-04 08:50:30,1.136s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/span_Category""))",Chrome 116.0.0.0,,,2566-09-04 08:50:30,2566-09-04 08:50:31,0.812s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/button_Sub Category""))",Chrome 116.0.0.0,,,2566-09-04 08:50:31,2566-09-04 08:50:31,0.971s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/div_CategoryAllWatersTT555Categories2Ben285_7d2483""))",Chrome 116.0.0.0,,,2566-09-04 08:50:31,2566-09-04 08:50:32,0.621s,PASSED
"setText(findTestObject(""Object Repository/Page_Create Next App/input_Add Category_input-group-1""), ""sub"")",Chrome 116.0.0.0,,,2566-09-04 08:50:32,2566-09-04 08:50:33,0.934s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Create Next App/input_Add Category_input-group-1""), Keys.chord(ENTER))",Chrome 116.0.0.0,,,2566-09-04 08:50:33,2566-09-04 08:50:34,0.538s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""1"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:34,2566-09-04 08:50:35,1.478s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""1"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:35,2566-09-04 08:50:37,1.446s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""3"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:37,2566-09-04 08:50:38,1.455s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""3"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:38,2566-09-04 08:50:39,1.304s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""4"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:39,2566-09-04 08:50:41,1.405s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""4"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:41,2566-09-04 08:50:42,1.442s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""15"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:42,2566-09-04 08:50:44,1.573s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""15"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:44,2566-09-04 08:50:45,1.554s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""14"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:45,2566-09-04 08:50:47,1.666s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""14"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:47,2566-09-04 08:50:48,1.483s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""6"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:48,2566-09-04 08:50:50,1.670s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Create Next App/select_AllWatersTT555Categories2Ben285PizzaKFCSSS""), ""6"", true)",Chrome 116.0.0.0,,,2566-09-04 08:50:50,2566-09-04 08:50:52,1.663s,PASSED
"doubleClick(findTestObject(""Object Repository/Page_Create Next App/input_Add Category_input-group-1""))",Chrome 116.0.0.0,,,2566-09-04 08:50:52,2566-09-04 08:50:52,0.683s,PASSED
"setText(findTestObject(""Object Repository/Page_Create Next App/input_Add Category_input-group-1""), ""1212"")",Chrome 116.0.0.0,,,2566-09-04 08:50:52,2566-09-04 08:50:53,0.962s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Create Next App/input_Add Category_input-group-1""), Keys.chord(ENTER))",Chrome 116.0.0.0,,,2566-09-04 08:50:53,2566-09-04 08:50:54,0.594s,PASSED
