Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TESTsearch Category,Chrome 116.0.0.0,,,2566-09-08 09:41:30,2566-09-08 09:42:19,49.544s,PASSED
,,,,,,,
Test Cases/TEST LOGIN,Chrome 116.0.0.0,"username : admin
password : 123456",,2566-09-08 09:41:30,2566-09-08 09:41:37,7.357s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2566-09-08 09:41:31,2566-09-08 09:41:34,3.178s,PASSED
"navigateToUrl(""https://pos-frontend-ton-gumbjqoyzq-as.a.run.app/"")",Chrome 116.0.0.0,,,2566-09-08 09:41:34,2566-09-08 09:41:34,0.618s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign In/input_Username_username""), ""admin"")",Chrome 116.0.0.0,,,2566-09-08 09:41:34,2566-09-08 09:41:36,1.468s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign In/input_Password_password""), ""aeHFOx8jV/A="")",Chrome 116.0.0.0,,,2566-09-08 09:41:36,2566-09-08 09:41:36,0.623s,PASSED
"click(findTestObject(""Object Repository/Page_Sign In/button_Sign in with Credentials""))",Chrome 116.0.0.0,,,2566-09-08 09:41:36,2566-09-08 09:41:37,0.965s,PASSED
,,,,,,,
Test Cases/Category LIST/SEARCH category/กดเปลี่ยนหน้าไปที่ category,Chrome 116.0.0.0,,,2566-09-08 09:41:37,2566-09-08 09:41:40,2.405s,PASSED
"navigateToUrl(""https://pos-frontend-ton-gumbjqoyzq-as.a.run.app/"")",Chrome 116.0.0.0,,,2566-09-08 09:41:38,2566-09-08 09:41:38,0.186s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/div_Item""))",Chrome 116.0.0.0,,,2566-09-08 09:41:38,2566-09-08 09:41:39,0.754s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/span_Category""))",Chrome 116.0.0.0,,,2566-09-08 09:41:39,2566-09-08 09:41:40,0.934s,PASSED
,,,,,,,
Test Cases/Category LIST/SEARCH category/ตรวจสอบฟังก์ชันการค้นหาเมื่อมีการค้นหาค่าว่าง,Chrome 116.0.0.0,,,2566-09-08 09:41:40,2566-09-08 09:41:45,5.399s,PASSED
"navigateToUrl(""https://pos-frontend-ton-gumbjqoyzq-as.a.run.app/items/categories"")",Chrome 116.0.0.0,,,2566-09-08 09:41:40,2566-09-08 09:41:41,0.266s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/span_Item""))",Chrome 116.0.0.0,,,2566-09-08 09:41:41,2566-09-08 09:41:42,1.047s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/span_Category""))",Chrome 116.0.0.0,,,2566-09-08 09:41:42,2566-09-08 09:41:42,0.701s,PASSED
"click(findTestObject(""Object Repository/Page_Create Next App/input_Add Category_input-group-1""))",Chrome 116.0.0.0,,,2566-09-08 09:41:42,2566-09-08 09:41:43,0.578s,PASSED
