Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Default Suite,Chrome 116.0.0.0,,,2566-09-14 13:59:35,2566-09-14 13:59:46,10.826s,ERROR
,,,,,,,
Test Cases/Imported from Selenium IDE Scripts/Default Suite/YYTY,Chrome 116.0.0.0,,,2566-09-14 13:59:35,2566-09-14 13:59:46,10.538s,ERROR
"""----------------------------------------------------""",Chrome 116.0.0.0,,,2566-09-14 13:59:35,2566-09-14 13:59:35,0.002s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 116.0.0.0,,,2566-09-14 13:59:35,2566-09-14 13:59:35,0.001s,PASSED
"""Generated date: 14-ก.ย.-2566 01:59:20 หลังเที่ยง""",Chrome 116.0.0.0,,,2566-09-14 13:59:35,2566-09-14 13:59:35,0.001s,PASSED
"""File path: C:\Users\USER\OneDrive\เดสก์ท็อป\MYProject.side""",Chrome 116.0.0.0,,,2566-09-14 13:59:35,2566-09-14 13:59:35,0.001s,PASSED
"""Generated by: ning.nattha6@gmail.com""",Chrome 116.0.0.0,,,2566-09-14 13:59:35,2566-09-14 13:59:35,0.002s,PASSED
"baseUrl = ""https://pos-frontend-ton-gumbjqoyzq-as.a.run.app""",Chrome 116.0.0.0,----------------------------------------------------,,2566-09-14 13:59:35,2566-09-14 13:59:35,0.002s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2566-09-14 13:59:35,2566-09-14 13:59:38,2.873s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 116.0.0.0,,,2566-09-14 13:59:38,2566-09-14 13:59:38,0.122s,PASSED
"selenium.open(""/"", """")",Chrome 116.0.0.0,open | / |  | ,,2566-09-14 13:59:38,2566-09-14 13:59:45,6.678s,PASSED
"""setWindowSize | 825x818 |  | """,Chrome 116.0.0.0,,,2566-09-14 13:59:45,2566-09-14 13:59:45,0.002s,PASSED
"selenium.click(""css=div > .py-3 > div"")",Chrome 116.0.0.0,click | css=div > .py-3 > div |  | ,,2566-09-14 13:59:45,2566-09-14 13:59:46,0.372s,ERROR
